Text ID,I,We,They,Non-fluencies,PosEmotion,NegEmotion,Anxiety,Anger,Sadness,Cognitive,Inhibition,Perceptual,Relativity,Work,Swear,Articles,Verbs,Adverbs,Prepositions,Conjunctions,Negtions,Quantifiers,Numbers
p63,49,20,10,22,40,1,2,0,0,57,1,11,94,45,0,43,130,66,104,92,6,20,6
p64,83,20,11,7,37,3,1,2,0,89,8,13,146,62,0,110,238,82,209,123,12,56,15
p65,72,20,8,33,85,3,2,0,0,75,9,17,183,56,0,76,192,105,207,130,14,44,14
p66,79,16,15,35,66,4,1,0,0,76,2,5,120,78,1,65,167,78,183,122,8,37,6
p67,66,15,12,21,43,3,0,0,0,79,1,23,197,74,0,126,270,93,209,99,13,62,18
p69,52,5,1,7,24,2,1,0,0,23,0,8,50,40,0,39,97,37,80,55,5,17,10
p7,50,11,4,1,9,1,1,0,0,39,2,13,95,39,0,40,113,43,119,45,4,17,9
p70,26,4,1,3,10,1,0,0,0,26,0,9,27,13,0,12,45,39,48,21,5,8,1
p71,40,8,2,4,16,2,0,0,1,23,3,8,53,18,0,24,68,38,57,36,5,10,7
p72,30,5,2,3,8,3,3,1,0,13,0,3,29,28,0,17,54,22,41,32,1,6,2
p73,31,18,5,7,25,1,0,1,0,32,0,8,87,33,0,39,96,46,82,74,10,12,8
p74,28,1,3,0,8,3,1,0,0,5,1,4,46,20,0,19,30,24,44,27,0,11,4
p76,58,3,17,9,20,2,0,0,0,24,1,3,59,35,0,37,112,50,76,47,10,13,2
p77,53,8,1,4,15,1,1,0,0,26,4,5,79,33,0,26,96,47,82,52,6,13,3
p78,28,11,2,4,7,1,0,0,0,29,4,3,29,21,0,21,57,20,39,26,6,6,1
p79,57,24,6,20,47,4,2,0,0,72,0,7,98,48,0,47,201,73,107,114,24,15,12
p8,47,11,0,5,22,3,1,0,1,27,5,10,96,54,0,24,91,49,106,69,3,13,6
p80,31,19,2,23,37,2,2,1,0,38,0,5,66,23,0,40,95,41,70,63,13,25,4
p81,39,6,8,3,15,2,2,0,0,30,0,6,80,34,0,52,93,40,91,56,2,18,12
p83,26,10,5,8,16,0,0,0,0,25,1,4,41,29,0,19,65,30,54,39,3,13,2
p84,71,21,11,3,25,2,0,0,0,45,3,16,144,54,0,58,157,61,128,84,11,36,5
p85,76,6,13,29,47,4,2,2,0,55,3,17,118,43,1,56,141,75,129,84,5,29,13
p86,75,11,1,41,69,2,0,0,0,44,12,23,158,34,0,46,223,101,115,91,19,26,18
p89,63,5,1,12,30,1,1,0,0,47,0,11,71,40,0,35,121,50,72,65,11,28,7
pp1,33,14,4,7,22,0,2,0,0,27,1,3,47,29,0,28,73,21,58,38,4,18,4
pp10,49,4,0,0,17,1,0,0,0,27,1,3,51,17,0,28,85,42,51,41,4,9,4
pp11,46,5,3,3,19,1,1,0,0,14,2,6,48,42,0,29,61,25,60,34,1,13,1
pp12,42,6,3,4,17,0,0,0,0,30,0,3,49,21,0,27,75,25,68,39,4,17,9
pp13,24,6,0,2,8,1,0,0,0,20,0,5,57,25,0,31,50,28,70,43,2,15,3
pp14,52,12,1,4,18,0,0,0,0,30,1,6,67,41,0,41,81,59,69,66,7,20,2
pp15,103,9,0,31,64,0,6,1,0,49,4,23,130,68,0,53,170,80,161,87,8,25,3
pp16,51,35,11,17,41,3,3,0,0,66,6,11,127,54,0,70,163,77,128,100,12,32,3
pp17,77,15,10,7,20,1,4,0,0,38,2,21,111,63,0,48,175,81,124,86,7,39,7
pp20,54,2,7,13,27,0,0,0,0,23,2,8,71,30,0,24,86,29,60,41,6,11,1
pp21,54,2,4,24,37,0,0,0,0,37,3,5,44,40,0,18,97,35,53,49,2,16,3
pp22,47,24,2,5,16,0,1,0,0,42,4,5,114,57,0,48,105,37,117,72,3,25,16
pp24,26,0,2,2,15,1,1,0,0,25,0,4,54,24,0,24,53,27,69,34,2,13,2
pp25,62,34,3,7,31,4,2,0,0,75,8,16,127,69,0,85,198,86,164,107,12,37,16
pp27,45,5,5,13,29,5,7,0,0,30,3,13,71,40,0,37,103,35,98,49,7,9,5
pp29,76,8,2,20,39,0,2,0,1,26,2,12,92,39,0,55,131,40,120,66,5,19,5
pp3,146,8,14,32,72,1,0,0,1,89,6,29,166,58,2,70,251,133,204,139,21,61,12
pp30,34,0,2,4,13,3,1,0,0,17,4,4,35,18,0,19,76,23,38,23,6,16,2
pp31,69,13,3,20,47,2,3,5,0,59,4,12,127,64,0,49,158,49,122,92,11,31,3
pp32,79,4,9,10,25,4,3,0,0,36,4,10,87,56,0,49,116,45,91,59,7,18,7
pp33,45,28,7,4,32,0,1,0,0,53,2,5,98,52,0,61,140,65,107,83,15,28,10
pp34,63,17,13,21,45,4,3,0,1,52,5,15,135,39,0,51,164,92,126,94,12,34,10
pp35,39,6,0,2,12,0,0,0,0,21,2,6,67,39,0,32,77,32,57,32,3,12,6
pp37,43,3,0,6,15,0,0,0,0,28,1,8,64,40,0,31,67,37,69,40,3,24,5
pp4,67,29,6,14,38,8,4,0,0,54,9,11,104,69,0,80,170,86,174,89,16,43,20
pp42,52,3,1,2,24,1,0,0,0,29,1,3,80,45,0,48,93,36,91,52,4,25,6
pp43,18,3,3,1,4,0,0,0,0,18,2,2,40,16,0,22,64,21,49,24,2,13,6
pp44,57,13,10,2,21,5,5,0,0,45,6,4,123,55,0,62,142,61,140,57,9,27,7
pp45,42,1,2,0,16,2,0,0,0,24,0,2,63,44,0,42,129,30,93,43,6,21,4
pp47,29,0,2,1,17,1,3,0,0,16,1,1,23,24,0,16,51,19,38,32,3,6,3
pp48,27,8,5,24,30,0,0,0,0,16,1,4,42,26,0,25,78,19,51,43,8,12,4
pp49,96,2,13,4,21,7,7,0,1,42,2,24,124,43,0,59,170,59,123,75,10,40,4
pp5,52,7,3,1,12,0,0,0,0,34,4,2,52,42,0,32,81,24,79,38,2,11,5
pp50,68,7,0,4,15,0,0,1,0,44,4,9,85,32,1,52,119,45,116,70,6,35,9
pp52,91,6,2,16,22,0,0,0,0,50,2,18,95,44,0,25,142,59,91,63,4,18,9
pp53,38,0,1,2,8,0,2,0,0,13,2,2,24,17,0,12,41,12,20,16,0,7,10
pp55,29,3,3,6,23,3,1,0,0,23,1,6,54,32,1,26,65,43,62,38,5,17,4
pp56,32,9,6,8,15,2,3,0,0,23,1,4,56,32,0,29,78,28,59,38,4,18,4
pp57,59,11,3,2,26,0,1,1,0,49,1,10,84,45,0,51,124,55,103,60,8,28,0
pp58,33,13,3,5,10,0,1,0,0,28,0,13,72,39,0,39,61,27,69,37,3,15,12
pp59,53,7,6,14,38,1,0,0,0,41,0,9,78,17,0,25,149,43,72,52,13,29,6
pp6,103,6,2,3,16,3,1,0,0,39,4,11,118,84,0,66,167,57,132,80,19,45,26
pp60,86,35,8,23,49,2,2,1,0,70,4,8,124,72,0,58,189,88,148,102,16,34,6
pp61,24,6,0,0,7,2,1,0,0,12,0,3,55,20,0,23,53,13,47,23,2,8,3
pp62,66,8,1,3,28,1,1,0,0,35,0,11,95,35,0,55,115,76,124,79,4,16,5
pp63,46,13,8,14,24,3,0,0,0,41,2,9,85,51,0,41,107,34,91,68,11,31,6
pp64,62,14,6,7,37,5,1,0,0,60,2,13,121,56,1,96,159,63,166,107,7,37,12
pp65,84,23,24,5,50,5,2,0,1,65,6,19,194,55,0,103,212,93,183,103,23,38,18
pp66,99,19,12,8,34,3,2,0,0,58,4,5,165,96,0,79,184,112,181,161,11,44,14
pp67,97,6,3,21,47,1,1,2,0,68,6,27,155,92,0,103,205,90,178,109,16,46,18
pp69,54,6,3,8,28,0,0,0,0,31,0,8,68,37,0,44,113,50,87,58,10,19,9
pp7,41,4,2,4,11,1,0,0,0,23,2,13,63,43,0,32,77,31,81,38,3,22,6
pp70,40,12,4,8,15,3,0,0,0,34,4,11,53,26,0,25,70,43,79,41,4,16,2
pp71,53,3,4,5,19,1,0,0,0,25,1,13,78,26,0,34,67,31,78,42,4,9,4
pp72,43,9,2,1,13,3,5,0,0,26,1,5,61,43,0,34,75,36,78,51,3,11,10
pp73,45,11,9,9,22,0,2,0,1,32,0,3,70,41,0,42,109,45,84,61,7,28,5
pp74,31,7,1,2,11,2,1,0,0,17,0,7,44,29,0,17,48,22,49,27,0,13,3
pp76,40,11,3,11,22,0,1,0,0,38,3,9,59,38,0,41,84,39,67,47,7,17,4
pp77,38,9,2,2,12,0,0,0,0,20,0,6,72,22,0,31,90,37,56,41,6,9,3
pp78,25,3,3,3,11,2,1,0,0,16,1,5,35,18,0,23,46,22,32,25,1,8,1
pp79,90,9,3,11,36,0,0,0,0,63,2,11,91,54,0,39,184,68,122,75,9,21,12
pp8,68,1,1,2,20,1,1,0,0,45,1,5,78,57,0,38,88,28,99,55,3,29,12
pp80,28,7,0,5,14,1,2,0,0,26,0,6,55,31,0,21,74,33,57,47,7,10,2
pp81,63,10,6,1,24,1,0,0,0,46,0,9,70,38,0,48,129,49,93,81,5,25,5
pp83,38,5,1,9,18,0,1,0,0,20,0,8,58,29,0,18,54,28,61,35,2,15,2
pp84,58,6,8,9,45,0,4,0,0,39,0,18,90,52,0,48,136,60,122,61,10,32,10
pp85,95,4,8,47,75,1,3,2,0,64,0,11,87,45,0,61,191,115,131,99,9,37,8
pp86,100,6,11,9,47,1,0,1,0,49,1,23,105,55,1,51,189,90,96,87,12,34,5
pp89,81,20,7,14,45,0,0,0,0,65,3,14,147,51,0,57,187,69,145,117,4,44,13
